S.No,Message/Tweet,Match,Polarity
0,wifi should be available free throughout canada during this crisis this will help with public health education amongst many other factors over the next while some of our students have no access to wifi how can we make this happen         freewifi,free available crisis,positive
1,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
2,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
3,dude we have the highest average education level in canada are you dense, dense,negative
4,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
5,if this doesnt scare the shit out every american it should  canada     ill hold on to your beer when this is over youre about to have a glaring example of why universal healthcare is a right and why you fund not make cuts to healthcare and education,right shit scare,negative
6,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
7,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
8,its a busy time all over and were not slowing down here  lts national is hiring multiple summer student positions in various locations across canada this is a great opportunity to work within  the stem outreach and youth education fields see  for more,work great ,positive
9,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
10,signing of peace and friendship treaty staged to educate people,peace ,positive
11,saskatchewan education system prepping for covid19   cbc news  via, ,neutral
12,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
13,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
14,department of education and school districts in consultation with the new brunswick interscholastic athletic associationare postponing all school and districtsponsored events involving students from different schools or the general publicuntil march 23, ,neutral
15,are you still going on about the 1 percent the teachers have given up up more than that fighting for the quality of education or are you ignoring facts too, ,neutral
16,discover how residential schools continue to affect indigenous communities in the present day in our revamped residential schools in canada history and legacy education guide download it for free today,free ,positive
17,chinese junior elites an education app targeting youngsters under 18 years worldwide deputy editor of military jurnal is one of the directors with rep amp offices in the states canada australia uk, ,neutral
18,great news for the other universities in canada   more albertans will be going outside the province for a good education,good great ,positive
19,signing of peace and friendship treaty staged to educate people  cbc news,peace ,positive
20,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
21,which raises important questions of whowhich approaches will guide curriculummaking amp pedagogy in expanded early childhood education spaces across canada pedagogists  vital partners in process of taking up this call as more than simply creating more ece spaces bcelf bced,important ,positive
22,am so interested to come and  study   in canada please you can help me fine school canada is my dream country i like canada so much  best place to study looking for better education,best better fine like ,positive
23,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
24,am so interested to come and  study in canada please you can help me fine school canada is my dream country i like canada so much  best place to study am looking for better education,best better fine like ,positive
25,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
26,considering she thought socialismsingle payer healthcare and higher education and socialismempty grocery stores i figured id show her what the grocery stores in a socialist country look like  and canada is by no means perfect but their people are happier than here,perfect like happier ,positive
27,am so interested to come and  study in canada please you can help me fine school canada is my dream country i like canada so much  best place to study looking for better education,best better fine like ,positive
28,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
29,our new education guide residential schools in canada aims to raise awareness of the history of residential schools in canada and bring to light the importance of education in the reconciliation process download the guide here for free,free reconciliation ,positive
30,am so interested to come and  study in canada please you can help me fine school canada is my dream country i like canada so much  best place to study need better education,best better fine like ,positive
31,am so interested to come and  study in canada please you can help me fine school canada is my dream country i like canada so much  best place to study i need better education degrees program please help me,best better fine like ,positive
32,hello am so interested to study canada you can fine me school canada is my dream i really want to study degree program better education,better fine ,positive
33,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
34,transformation and reconciliation in education is possible   the good work in mikmaq education systems is having an impact across nova scotia,good reconciliation work ,positive
35,hello friend am interested to come and study in canada please you can fine me school canada is my dream country i want to have better education,better fine ,positive
36,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
37,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
38,immigration refugee and irregular border migrant increases without funding for increased demand on healthcare education social services already strained  will only make things worse for all citizens in canada, strained worse irregular,negative
39,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
40,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
41,canadian scientists make covid19 research breakthrough isolating virus   only in canada these kind of break throughs take intelligence education experience and most important a social environment that is supportive of innovation not greed,breakthrough supportive innovation intelligence important break greed virus,positive
42,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
43,they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada,benefits worked ,positive
44,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
45,the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4,support ,positive
46,an excellent analysis of the tactics used by provincial governments in canada to destabilize public education       abed abpoli,excellent ,positive
